"","age","total","male","female","district"
"1",0,1113,591,522,"北"
"2",1,969,501,468,"北"
"3",2,819,395,424,"北"
"4",3,870,488,382,"北"
"5",4,719,345,374,"北"
"6",5,657,320,337,"北"
"7",6,651,326,325,"北"
"8",7,630,336,294,"北"
"9",8,547,263,284,"北"
"10",9,504,257,247,"北"
"11",10,564,300,264,"北"
"12",11,573,289,284,"北"
"13",12,590,302,288,"北"
"14",13,628,301,327,"北"
"15",14,582,305,277,"北"
"16",15,584,287,297,"北"
"17",16,548,298,250,"北"
"18",17,606,322,284,"北"
"19",18,736,370,366,"北"
"20",19,787,387,400,"北"
"21",20,914,423,491,"北"
"22",21,1082,497,585,"北"
"23",22,1597,725,872,"北"
"24",23,1913,886,1027,"北"
"25",24,1910,915,995,"北"
"26",25,2111,1031,1080,"北"
"27",26,2107,990,1117,"北"
"28",27,2218,1051,1167,"北"
"29",28,2360,1150,1210,"北"
"30",29,2598,1251,1347,"北"
"31",30,2490,1208,1282,"北"
"32",31,2481,1196,1285,"北"
"33",32,2397,1166,1231,"北"
"34",33,2168,1062,1106,"北"
"35",34,2327,1178,1149,"北"
"36",35,2216,1102,1114,"北"
"37",36,2302,1188,1114,"北"
"38",37,2123,1031,1092,"北"
"39",38,2267,1145,1122,"北"
"40",39,2202,1067,1135,"北"
"41",40,2299,1168,1131,"北"
"42",41,2199,1157,1042,"北"
"43",42,2142,1073,1069,"北"
"44",43,2046,1045,1001,"北"
"45",44,1976,959,1017,"北"
"46",45,2018,1023,995,"北"
"47",46,1933,972,961,"北"
"48",47,1715,863,852,"北"
"49",48,1492,733,759,"北"
"50",49,1693,860,833,"北"
"51",50,1568,766,802,"北"
"52",51,1421,707,714,"北"
"53",52,1445,749,696,"北"
"54",53,1292,674,618,"北"
"55",54,1348,700,648,"北"
"56",55,1294,699,595,"北"
"57",56,1280,650,630,"北"
"58",57,1197,595,602,"北"
"59",58,1160,583,577,"北"
"60",59,1280,636,644,"北"
"61",60,1125,575,550,"北"
"62",61,1257,585,672,"北"
"63",62,1348,691,657,"北"
"64",63,1434,710,724,"北"
"65",64,1550,766,784,"北"
"66",65,1673,846,827,"北"
"67",66,1679,739,940,"北"
"68",67,1570,735,835,"北"
"69",68,955,452,503,"北"
"70",69,999,437,562,"北"
"71",70,1212,560,652,"北"
"72",71,1064,535,529,"北"
"73",72,1150,503,647,"北"
"74",73,1146,527,619,"北"
"75",74,973,389,584,"北"
"76",75,889,363,526,"北"
"77",76,893,391,502,"北"
"78",77,968,360,608,"北"
"79",78,918,373,545,"北"
"80",79,859,347,512,"北"
"81",80,747,282,465,"北"
"82",81,705,247,458,"北"
"83",82,686,252,434,"北"
"84",83,565,219,346,"北"
"85",84,528,168,360,"北"
"86",85,475,159,316,"北"
"87",86,372,126,246,"北"
"88",87,425,123,302,"北"
"89",88,362,105,257,"北"
"90",89,268,84,184,"北"
"91",90,229,59,170,"北"
"92",91,177,37,140,"北"
"93",92,188,50,138,"北"
"94",93,130,22,108,"北"
"95",94,82,16,66,"北"
"96",95,60,5,55,"北"
"97",96,26,10,16,"北"
"98",97,17,0,17,"北"
"99",98,50,4,46,"北"
"100",99,17,4,13,"北"
"101",100,51,5,46,"北"
"102",0,931,507,424,"都島"
"103",1,890,464,426,"都島"
"104",2,829,423,406,"都島"
"105",3,891,444,447,"都島"
"106",4,777,420,357,"都島"
"107",5,772,387,385,"都島"
"108",6,848,414,434,"都島"
"109",7,774,381,393,"都島"
"110",8,768,408,360,"都島"
"111",9,741,393,348,"都島"
"112",10,749,397,352,"都島"
"113",11,757,382,375,"都島"
"114",12,760,396,364,"都島"
"115",13,781,417,364,"都島"
"116",14,722,383,339,"都島"
"117",15,777,394,383,"都島"
"118",16,807,406,401,"都島"
"119",17,786,385,401,"都島"
"120",18,825,428,397,"都島"
"121",19,870,435,435,"都島"
"122",20,858,424,434,"都島"
"123",21,976,494,482,"都島"
"124",22,1022,484,538,"都島"
"125",23,1193,549,644,"都島"
"126",24,1148,533,615,"都島"
"127",25,1319,649,670,"都島"
"128",26,1297,615,682,"都島"
"129",27,1429,691,738,"都島"
"130",28,1526,722,804,"都島"
"131",29,1402,700,702,"都島"
"132",30,1535,747,788,"都島"
"133",31,1504,739,765,"都島"
"134",32,1481,701,780,"都島"
"135",33,1409,656,753,"都島"
"136",34,1575,786,789,"都島"
"137",35,1538,782,756,"都島"
"138",36,1479,718,761,"都島"
"139",37,1661,832,829,"都島"
"140",38,1606,755,851,"都島"
"141",39,1668,868,800,"都島"
"142",40,1763,885,878,"都島"
"143",41,1797,911,886,"都島"
"144",42,1669,791,878,"都島"
"145",43,1739,907,832,"都島"
"146",44,1659,845,814,"都島"
"147",45,1583,799,784,"都島"
"148",46,1439,677,762,"都島"
"149",47,1547,755,792,"都島"
"150",48,1212,597,615,"都島"
"151",49,1387,713,674,"都島"
"152",50,1345,685,660,"都島"
"153",51,1335,663,672,"都島"
"154",52,1280,624,656,"都島"
"155",53,1277,595,682,"都島"
"156",54,1261,580,681,"都島"
"157",55,1315,638,677,"都島"
"158",56,1234,574,660,"都島"
"159",57,1124,535,589,"都島"
"160",58,1249,602,647,"都島"
"161",59,1328,626,702,"都島"
"162",60,1322,677,645,"都島"
"163",61,1302,635,667,"都島"
"164",62,1443,741,702,"都島"
"165",63,1432,751,681,"都島"
"166",64,1658,892,766,"都島"
"167",65,1740,910,830,"都島"
"168",66,1658,818,840,"都島"
"169",67,1580,779,801,"都島"
"170",68,956,474,482,"都島"
"171",69,932,461,471,"都島"
"172",70,1175,539,636,"都島"
"173",71,1194,569,625,"都島"
"174",72,1225,550,675,"都島"
"175",73,1183,537,646,"都島"
"176",74,976,404,572,"都島"
"177",75,923,407,516,"都島"
"178",76,940,388,552,"都島"
"179",77,920,391,529,"都島"
"180",78,903,385,518,"都島"
"181",79,853,351,502,"都島"
"182",80,817,299,518,"都島"
"183",81,817,331,486,"都島"
"184",82,682,283,399,"都島"
"185",83,634,229,405,"都島"
"186",84,524,191,333,"都島"
"187",85,492,157,335,"都島"
"188",86,464,156,308,"都島"
"189",87,372,119,253,"都島"
"190",88,345,115,230,"都島"
"191",89,245,63,182,"都島"
"192",90,212,46,166,"都島"
"193",91,142,58,84,"都島"
"194",92,140,29,111,"都島"
"195",93,115,26,89,"都島"
"196",94,80,19,61,"都島"
"197",95,61,17,44,"都島"
"198",96,37,13,24,"都島"
"199",97,54,10,44,"都島"
"200",98,28,1,27,"都島"
"201",99,19,0,19,"都島"
"202",100,42,5,37,"都島"
"203",0,709,349,360,"福島"
"204",1,663,323,340,"福島"
"205",2,618,312,306,"福島"
"206",3,679,384,295,"福島"
"207",4,594,332,262,"福島"
"208",5,550,276,274,"福島"
"209",6,550,272,278,"福島"
"210",7,561,293,268,"福島"
"211",8,523,275,248,"福島"
"212",9,512,256,256,"福島"
"213",10,491,242,249,"福島"
"214",11,508,248,260,"福島"
"215",12,487,244,243,"福島"
"216",13,524,265,259,"福島"
"217",14,457,229,228,"福島"
"218",15,448,205,243,"福島"
"219",16,443,212,231,"福島"
"220",17,461,237,224,"福島"
"221",18,462,237,225,"福島"
"222",19,582,268,314,"福島"
"223",20,522,270,252,"福島"
"224",21,593,265,328,"福島"
"225",22,782,353,429,"福島"
"226",23,952,419,533,"福島"
"227",24,982,453,529,"福島"
"228",25,1044,496,548,"福島"
"229",26,1113,503,610,"福島"
"230",27,1221,558,663,"福島"
"231",28,1190,544,646,"福島"
"232",29,1313,604,709,"福島"
"233",30,1311,627,684,"福島"
"234",31,1341,629,712,"福島"
"235",32,1271,584,687,"福島"
"236",33,1292,625,667,"福島"
"237",34,1309,609,700,"福島"
"238",35,1287,630,657,"福島"
"239",36,1297,587,710,"福島"
"240",37,1407,649,758,"福島"
"241",38,1328,615,713,"福島"
"242",39,1347,658,689,"福島"
"243",40,1445,685,760,"福島"
"244",41,1441,703,738,"福島"
"245",42,1318,653,665,"福島"
"246",43,1254,630,624,"福島"
"247",44,1160,563,597,"福島"
"248",45,1107,552,555,"福島"
"249",46,1100,543,557,"福島"
"250",47,1013,537,476,"福島"
"251",48,811,396,415,"福島"
"252",49,961,498,463,"福島"
"253",50,871,455,416,"福島"
"254",51,907,429,478,"福島"
"255",52,803,407,396,"福島"
"256",53,867,420,447,"福島"
"257",54,791,414,377,"福島"
"258",55,745,361,384,"福島"
"259",56,657,339,318,"福島"
"260",57,620,310,310,"福島"
"261",58,655,335,320,"福島"
"262",59,638,318,320,"福島"
"263",60,637,311,326,"福島"
"264",61,728,344,384,"福島"
"265",62,800,360,440,"福島"
"266",63,842,443,399,"福島"
"267",64,820,383,437,"福島"
"268",65,1083,500,583,"福島"
"269",66,975,445,530,"福島"
"270",67,965,470,495,"福島"
"271",68,550,241,309,"福島"
"272",69,612,306,306,"福島"
"273",70,750,331,419,"福島"
"274",71,633,272,361,"福島"
"275",72,683,293,390,"福島"
"276",73,713,326,387,"福島"
"277",74,636,272,364,"福島"
"278",75,543,213,330,"福島"
"279",76,534,240,294,"福島"
"280",77,580,224,356,"福島"
"281",78,568,223,345,"福島"
"282",79,533,233,300,"福島"
"283",80,513,170,343,"福島"
"284",81,470,174,296,"福島"
"285",82,476,201,275,"福島"
"286",83,389,150,239,"福島"
"287",84,316,112,204,"福島"
"288",85,325,109,216,"福島"
"289",86,279,84,195,"福島"
"290",87,214,72,142,"福島"
"291",88,219,55,164,"福島"
"292",89,134,38,96,"福島"
"293",90,146,47,99,"福島"
"294",91,122,32,90,"福島"
"295",92,106,17,89,"福島"
"296",93,68,18,50,"福島"
"297",94,68,12,56,"福島"
"298",95,21,6,15,"福島"
"299",96,29,2,27,"福島"
"300",97,28,4,24,"福島"
"301",98,10,0,10,"福島"
"302",99,0,0,0,"福島"
"303",100,20,5,15,"福島"
"304",0,610,308,302,"此花"
"305",1,619,313,306,"此花"
"306",2,638,328,310,"此花"
"307",3,576,319,257,"此花"
"308",4,550,294,256,"此花"
"309",5,541,275,266,"此花"
"310",6,532,279,253,"此花"
"311",7,509,262,247,"此花"
"312",8,471,247,224,"此花"
"313",9,484,243,241,"此花"
"314",10,514,257,257,"此花"
"315",11,520,261,259,"此花"
"316",12,482,240,242,"此花"
"317",13,497,263,234,"此花"
"318",14,514,250,264,"此花"
"319",15,591,294,297,"此花"
"320",16,568,281,287,"此花"
"321",17,565,298,267,"此花"
"322",18,631,307,324,"此花"
"323",19,629,314,315,"此花"
"324",20,643,329,314,"此花"
"325",21,673,321,352,"此花"
"326",22,674,361,313,"此花"
"327",23,715,358,357,"此花"
"328",24,741,406,335,"此花"
"329",25,685,365,320,"此花"
"330",26,743,368,375,"此花"
"331",27,722,406,316,"此花"
"332",28,705,322,383,"此花"
"333",29,718,379,339,"此花"
"334",30,780,359,421,"此花"
"335",31,841,385,456,"此花"
"336",32,904,439,465,"此花"
"337",33,826,403,423,"此花"
"338",34,865,470,395,"此花"
"339",35,850,397,453,"此花"
"340",36,888,433,455,"此花"
